date,Stress
2019-05-07 13:14:13,-2
2019-05-07 13:38:49,-2
2019-05-07 15:50:55,-3
2019-05-07 18:08:41,-2
2019-05-07 18:50:26,-1
2019-05-07 19:44:40,1
2019-05-07 21:53:57,-2
2019-05-08 11:13:13,-3
2019-05-08 12:54:34,-3
2019-05-08 12:54:36,-3
2019-05-08 13:40:39,-3
2019-05-08 15:07:38,-1
2019-05-08 15:57:49,-3
2019-05-09 00:00:48,-3
2019-05-09 00:49:49,-3
2019-05-09 08:47:40,-2
2019-05-09 11:26:22,-3
2019-05-09 12:09:17,-3
2019-05-09 13:43:58,-2
2019-05-09 19:09:02,-1
2019-05-09 19:41:36,-1
2019-05-09 21:12:18,-2
2019-05-09 21:56:36,-3
2019-05-10 10:05:30,-2
2019-05-10 13:03:42,-3
2019-05-10 15:13:23,-2
2019-05-10 15:54:02,-2
2019-05-10 16:37:17,-3
2019-05-10 16:37:18,-3
2019-05-10 18:10:25,-2
2019-05-10 18:58:42,-1
2019-05-10 19:43:45,1
2019-05-10 20:30:13,-1
2019-05-10 21:08:26,-3
2019-05-10 21:08:29,-3
2019-05-10 21:08:29,-3
2019-05-11 09:31:24,-2
2019-05-11 12:02:03,1
2019-05-11 12:06:24,1
2019-05-11 12:53:27,-2
2019-05-11 13:38:36,0
2019-05-11 16:44:30,-1
2019-05-11 17:21:32,1
2019-05-11 18:46:18,-1
2019-05-11 19:30:28,-1
2019-05-12 08:51:27,0
2019-05-12 10:24:32,2
2019-05-12 12:52:18,0
2019-05-12 12:52:18,0
2019-05-12 14:18:24,-1
2019-05-12 14:59:30,-1
2019-05-12 14:59:30,-1
2019-05-12 15:59:29,1
2019-05-12 16:42:00,0
2019-05-12 18:53:45,2
2019-05-12 19:54:14,0
2019-05-13 10:09:24,2
2019-05-13 11:24:09,3
2019-05-13 12:58:21,3
2019-05-13 13:41:24,3
2019-05-13 15:14:22,3
2019-05-13 17:25:59,3
2019-05-14 10:45:25,2
2019-05-14 12:54:18,1
2019-05-14 15:04:22,1
2019-05-14 15:50:37,2
2019-05-14 16:30:27,2
2019-05-14 18:08:18,2
2019-05-14 19:46:48,1
2019-05-14 20:23:23,1
