type,start,end,activity
get,2019-05-08 13:40:39,2019-05-08 15:07:38,exercise
release,2019-05-08 15:07:38,2019-05-08 15:57:49,exercise
release,2019-05-09 21:12:18,2019-05-09 21:56:36,phone
release,2019-05-10 15:54:02,2019-05-10 16:37:17,exercise
get,2019-05-10 18:58:42,2019-05-10 19:43:45,exercise
release,2019-05-10 19:43:45,2019-05-10 20:30:13,exercise
release,2019-05-10 20:30:13,2019-05-10 21:08:26,exercise
release,2019-05-11 12:06:24,2019-05-11 12:53:27,exercise
get,2019-05-11 12:53:27,2019-05-11 13:38:36,exercise
get,2019-05-11 16:44:30,2019-05-11 17:21:32,exercise
release,2019-05-11 17:21:32,2019-05-11 18:46:18,exercise
get,2019-05-12 08:51:27,2019-05-12 10:24:32,exercise
get,2019-05-12 14:59:30,2019-05-12 15:59:29,exercise
release,2019-05-12 15:59:29,2019-05-12 16:42:00,exercise
release,2019-05-12 18:53:45,2019-05-12 19:54:14,sleep
get,2019-05-14 15:04:22,2019-05-14 15:50:37,exercise
